"","dispatch_date","Aggravated Assault Firearm","Aggravated Assault No Firearm","All Other Offenses","Arson","Burglary Non-Residential","Burglary Residential","Disorderly Conduct","DRIVING UNDER THE INFLUENCE","Embezzlement","Forgery and Counterfeiting","Fraud","Gambling Violations","Homicide - Criminal","Homicide - Criminal ","Homicide - Justifiable ","Liquor Law Violations","Motor Vehicle Theft","Narcotic / Drug Law Violations","Offenses Against Family and Children","Other Assaults","Other Sex Offenses (Not Commercialized)","Prostitution and Commercialized Vice","Public Drunkenness","Rape","Receiving Stolen Property","Robbery Firearm","Robbery No Firearm","Theft from Vehicle","Thefts","Vagrancy/Loitering","Vandalism/Criminal Mischief","Weapon Violations"
"146",2010-05-26,11,26,139,3,4,42,14,10,0,2,26,1,0,0,0,1,20,57,0,71,5,6,1,2,0,10,9,47,59,4,54,7
"147",2010-05-27,6,17,109,4,5,23,13,15,1,3,35,0,1,0,0,1,19,53,0,85,7,1,1,3,0,8,8,46,91,4,42,4
"148",2010-05-28,7,11,81,3,6,19,15,12,0,0,26,0,2,0,0,3,21,48,0,77,4,0,3,2,0,9,14,60,96,2,49,6
"149",2010-05-29,7,14,137,1,11,12,18,22,0,1,14,1,0,0,0,1,17,30,0,61,0,0,3,2,0,10,6,31,61,0,51,6
"150",2010-05-30,13,29,167,2,5,24,11,31,1,1,7,0,2,0,0,1,14,18,0,67,2,0,0,2,0,7,15,32,46,2,52,4
"151",2010-05-31,14,23,102,0,14,16,9,11,0,0,5,0,1,0,0,0,18,18,0,77,2,0,0,5,0,7,6,39,44,0,42,0
"152",2010-06-01,6,18,115,2,9,31,9,10,0,2,26,0,1,0,0,3,19,65,0,85,4,0,0,4,0,9,14,36,80,6,48,6
"153",2010-06-02,5,24,134,6,7,26,16,4,2,2,43,0,1,2,0,1,14,62,1,86,6,5,1,4,1,1,14,42,60,8,34,5
"154",2010-06-03,8,14,142,2,6,28,8,12,2,2,34,0,1,0,0,1,16,66,1,82,2,8,1,4,0,10,12,38,60,5,34,4
"155",2010-06-04,4,21,80,1,9,31,10,30,1,2,30,0,1,0,0,2,16,55,0,71,3,4,0,3,0,6,6,37,75,5,53,3
"156",2010-06-05,8,22,137,0,5,20,16,25,1,2,10,0,0,0,0,4,12,32,0,63,2,0,3,3,0,11,14,43,67,2,46,3
"157",2010-06-06,10,27,92,1,2,18,11,16,0,1,7,0,1,0,0,1,11,17,0,79,3,0,2,2,0,8,14,45,53,1,64,2
"158",2010-06-07,7,18,68,1,8,33,3,8,2,2,34,2,0,0,0,2,23,22,0,79,1,0,1,3,1,11,19,50,83,1,64,4
"159",2010-06-08,6,22,121,4,5,27,15,8,0,4,33,0,0,0,0,0,23,46,0,86,6,5,0,6,0,10,11,54,85,9,60,5
"160",2010-06-09,8,19,107,3,5,31,8,12,4,2,24,0,1,0,0,0,16,39,0,75,7,0,1,2,0,13,9,52,79,1,47,6
"161",2010-06-10,1,22,139,1,5,29,6,7,4,2,34,0,1,0,0,0,15,50,1,84,3,10,0,1,0,6,12,50,75,6,45,9
"162",2010-06-11,11,15,106,0,9,29,22,21,3,2,29,0,1,0,0,7,18,63,0,75,8,0,1,4,0,9,20,39,81,4,49,4
"163",2010-06-12,3,14,174,2,3,21,12,18,2,0,19,0,1,0,0,1,14,41,0,53,4,0,6,2,0,5,10,64,50,2,42,6
"164",2010-06-13,7,15,133,1,1,28,13,10,1,0,5,0,0,1,0,1,13,20,0,57,3,0,2,4,0,10,15,36,44,0,49,4
"165",2010-06-14,12,19,81,0,8,26,9,11,0,5,36,0,1,0,0,0,23,21,0,73,6,0,0,3,0,6,13,51,78,5,60,3
"166",2010-06-15,9,16,134,1,7,20,14,9,2,1,37,0,0,0,0,1,16,46,0,66,3,7,2,2,0,7,10,50,79,1,47,5
"167",2010-06-16,3,26,125,4,7,17,8,10,1,3,35,1,1,0,0,1,20,57,2,62,4,5,0,2,1,8,13,48,79,3,50,2
"168",2010-06-17,6,23,134,0,6,25,11,7,1,3,27,1,0,1,0,5,20,49,0,60,4,7,4,1,0,7,14,70,68,5,65,8
"169",2010-06-18,7,20,68,0,5,18,17,26,2,1,20,0,1,1,0,5,23,38,0,88,5,6,3,2,0,11,11,61,62,2,51,4
"170",2010-06-19,10,22,104,0,3,22,14,13,1,2,21,0,2,1,0,4,17,36,1,68,3,5,2,3,0,8,11,48,51,5,63,3
