"","date_value","arrests_violent","arrests_property","arrests_drugs","arrests_firearms","arrests_other","arrests_uncategorized","charges_violent","charges_property","charges_drugs","charges_firearms","charges_other","charges_uncategorized"
"246",2014-09-03,38,28,96,1,4,24,29,26,69,2,3,8
"247",2014-09-04,35,15,73,1,12,21,41,34,94,1,11,8
"248",2014-09-05,46,52,77,3,5,29,40,44,67,2,4,10
"249",2014-09-06,27,16,97,2,12,26,33,20,68,1,8,11
"250",2014-09-07,25,15,19,4,1,21,27,12,64,3,3,9
"251",2014-09-08,25,32,28,2,1,24,37,32,25,4,3,18
"252",2014-09-09,28,21,56,3,1,19,25,11,34,2,1,7
"253",2014-09-10,35,23,43,0,8,36,24,24,58,1,8,13
"254",2014-09-11,33,17,30,1,10,19,39,18,40,1,5,15
"255",2014-09-12,22,13,49,1,9,32,28,14,32,2,14,12
"256",2014-09-13,26,23,73,3,7,27,25,22,73,3,7,12
"257",2014-09-14,23,10,26,2,6,15,25,22,45,2,5,10
"258",2014-09-15,29,17,19,4,1,21,24,11,13,2,2,8
"259",2014-09-16,29,21,30,1,4,24,22,21,22,3,1,25
"260",2014-09-17,32,43,40,4,7,28,40,41,40,3,7,16
"261",2014-09-18,25,22,125,9,6,31,27,26,88,5,8,10
"262",2014-09-19,41,16,63,3,11,40,43,25,100,6,10,31
"263",2014-09-20,31,19,65,4,7,19,43,14,63,3,6,8
"264",2014-09-21,32,8,36,5,6,31,22,21,45,3,7,18
"265",2014-09-22,30,17,26,3,3,19,35,16,26,4,3,11
"266",2014-09-23,23,23,36,4,8,24,26,15,20,3,4,9
"267",2014-09-24,44,27,83,1,11,25,35,23,70,4,13,14
"268",2014-09-25,27,31,51,4,2,33,30,28,68,4,2,10
"269",2014-09-26,24,7,63,1,9,32,30,15,65,1,11,10
"270",2014-09-27,18,15,62,2,6,18,23,11,54,2,3,11
"271",2014-09-28,13,15,24,1,3,21,15,21,42,1,3,12
"272",2014-09-29,30,22,24,1,1,24,28,30,9,0,1,11
"273",2014-09-30,37,23,32,6,3,19,29,21,37,3,3,7
"274",2014-10-01,38,28,59,3,8,31,28,18,43,5,8,22
"275",2014-10-02,51,26,68,2,12,35,43,29,64,2,12,16
"276",2014-10-03,42,22,57,2,11,37,47,18,57,2,8,12
"277",2014-10-04,19,12,55,3,9,24,36,21,70,4,12,8
"278",2014-10-05,23,15,27,4,3,20,18,10,31,3,3,4
"279",2014-10-06,30,18,38,1,4,22,28,17,29,2,4,12
"280",2014-10-07,27,27,24,1,1,27,36,36,36,1,1,8
"281",2014-10-08,28,32,58,4,10,25,42,16,45,2,10,12
"282",2014-10-09,31,29,67,6,5,23,28,38,56,8,5,11
"283",2014-10-10,42,27,69,9,8,22,36,35,76,6,8,15
"284",2014-10-11,24,21,42,2,2,29,36,23,59,4,3,8
"285",2014-10-12,28,16,38,4,4,19,24,19,42,4,4,11
"286",2014-10-13,31,21,16,1,8,16,25,16,20,2,8,14
"287",2014-10-14,43,15,33,4,5,31,35,14,23,4,3,8
"288",2014-10-15,40,22,49,4,8,35,47,18,41,5,10,24
"289",2014-10-16,48,11,53,4,5,20,40,21,47,3,7,7
"290",2014-10-17,38,26,57,6,10,31,54,27,57,3,8,16
"291",2014-10-18,45,19,66,2,7,16,33,16,67,6,8,11
"292",2014-10-19,13,14,51,3,8,18,31,19,66,3,8,8
"293",2014-10-20,34,15,13,2,1,22,18,14,17,1,1,11
"294",2014-10-21,31,14,23,2,4,35,29,15,17,1,5,23
"295",2014-10-22,28,23,44,6,5,38,41,25,39,5,5,24
"296",2014-10-23,25,23,35,4,4,25,27,30,38,6,4,25
"297",2014-10-24,25,15,47,4,5,25,21,21,28,4,4,7
"298",2014-10-25,30,18,45,2,7,26,33,19,70,1,7,8
"299",2014-10-26,30,13,30,1,7,19,41,19,35,1,8,8
"300",2014-10-27,41,19,19,4,0,17,31,15,19,2,1,7
"301",2014-10-28,31,23,32,3,7,33,31,18,17,3,5,16
"302",2014-10-29,46,24,33,4,9,30,36,20,39,4,7,10
"303",2014-10-30,27,21,71,0,11,26,34,25,52,3,11,12
"304",2014-10-31,29,14,38,7,8,27,43,24,59,2,8,10
"305",2014-11-01,20,14,51,2,9,16,27,15,41,4,9,10
"306",2014-11-02,21,8,34,0,6,20,23,16,37,2,4,15
"307",2014-11-03,20,19,14,1,0,18,19,15,18,0,2,5
"308",2014-11-04,40,36,37,3,2,27,26,18,30,2,0,9
"309",2014-11-05,37,18,49,3,12,11,46,21,38,1,14,11
"310",2014-11-06,31,24,61,1,10,27,35,34,69,3,10,13
"311",2014-11-07,26,28,56,3,10,28,33,20,48,1,10,7
"312",2014-11-08,26,22,77,0,7,31,29,23,79,2,7,17
"313",2014-11-09,31,12,35,1,5,28,24,26,44,1,5,12
"314",2014-11-10,12,27,23,2,0,30,18,24,22,2,0,12
"315",2014-11-11,26,15,65,0,9,37,22,20,45,0,6,19
"316",2014-11-12,38,29,52,1,9,26,39,22,50,1,11,13
"317",2014-11-13,24,21,83,3,9,26,39,23,57,0,9,12
"318",2014-11-14,24,20,50,2,4,30,24,13,70,5,7,15
"319",2014-11-15,23,11,63,3,8,25,18,21,65,1,7,12
